operation, CNOT count, 1-qubit Clifford count, T count, R count, M count, T depth, initial width, extra width, comment, full depth
QSKINNY_128_384.Round, 2448, 613, 896, 0, 0, 4, 512, 4, round = 37, 42
QSKINNY_128_384.Round, 2448, 613, 896, 0, 0, 4, 512, 4, round = 38, 42
QSKINNY_128_384.Round, 2448, 613, 896, 0, 0, 4, 512, 4, round = 39, 42
QSKINNY_128_384.Round, 2448, 612, 896, 0, 0, 4, 512, 4, round = 40, 42
QSKINNY_128_384.Round, 2448, 612, 896, 0, 0, 4, 512, 4, round = 41, 42
QSKINNY_128_384.Round, 2448, 612, 896, 0, 0, 4, 512, 4, round = 42, 42
QSKINNY_128_384.Round, 2448, 611, 896, 0, 0, 4, 512, 4, round = 43, 42
QSKINNY_128_384.Round, 2448, 611, 896, 0, 0, 4, 512, 4, round = 44, 42
QSKINNY_128_384.Round, 2448, 610, 896, 0, 0, 4, 512, 4, round = 45, 42
QSKINNY_128_384.Round, 2448, 611, 896, 0, 0, 4, 512, 4, round = 46, 42
QSKINNY_128_384.Round, 2448, 611, 896, 0, 0, 4, 512, 4, round = 47, 42
QSKINNY_128_384.Round, 2448, 610, 896, 0, 0, 4, 512, 4, round = 48, 42
QSKINNY_128_384.Round, 2448, 611, 896, 0, 0, 4, 512, 4, round = 49, 42
QSKINNY_128_384.Round, 2448, 613, 896, 0, 0, 4, 512, 4, round = 50, 42
QSKINNY_128_384.Round, 2448, 612, 896, 0, 0, 4, 512, 4, round = 51, 42
QSKINNY_128_384.Round, 2448, 611, 896, 0, 0, 4, 512, 4, round = 52, 42
QSKINNY_128_384.Round, 2448, 612, 896, 0, 0, 4, 512, 4, round = 53, 42
QSKINNY_128_384.Round, 2448, 612, 896, 0, 0, 4, 512, 4, round = 54, 42
QSKINNY_128_384.Round, 2448, 612, 896, 0, 0, 4, 512, 4, round = 55, 42
QSKINNY_128_384.Round, 2448, 611, 896, 0, 0, 4, 512, 4, round = 56, 42
QSKINNY_128_128.Skinny_128_in-place, 184448, 48996, 71680, 0, 0, 320, 384, 4, in_place, 3243
QSKINNY_128_256.Skinny_128_in-place, 228224, 58772, 86016, 0, 0, 384, 512, 4, in_place, 3891
QSKINNY_128_384.Skinny_128_in-place, 254720, 63666, 93184, 0, 0, 416, 640, 4, in_place, 4215
QSKINNY_128_128.GroverOracle_128_in-place-MC_r1, 185487, 50060, 72188, 0, 127, 320, 257, 5248, in_place mixcolumn - r = 1, 3242
QSKINNY_128_128.GroverOracle_128_in-place-MC_r2, 371195, 100040, 144380, 0, 255, 320, 385, 10624, in_place mixcolumn - r = 2, 3242
QSKINNY_128_128.GroverOracle_128_in-place-MC_r3, 556909, 150032, 216572, 0, 383, 320, 513, 16000, in_place mixcolumn - r = 3, 3242
QSKINNY_128_256.GroverOracle_128_in-place-MC_r1, 229245, 59800, 86524, 0, 127, 384, 385, 6272, in_place mixcolumn - r = 1, 3890
QSKINNY_128_256.GroverOracle_128_in-place-MC_r2, 458999, 119584, 173052, 0, 255, 384, 513, 12800, in_place mixcolumn - r = 2, 3890
QSKINNY_128_256.GroverOracle_128_in-place-MC_r3, 688749, 179360, 259580, 0, 383, 384, 641, 19328, in_place mixcolumn - r = 3, 3890
QSKINNY_128_384.GroverOracle_128_in-place-MC_r1, 275311, 69560, 100860, 0, 127, 448, 513, 7296, in_place mixcolumn - r = 1, 4538
QSKINNY_128_384.GroverOracle_128_in-place-MC_r2, 551421, 139172, 201724, 0, 255, 448, 641, 14976, in_place mixcolumn - r = 2, 4538
QSKINNY_128_384.GroverOracle_128_in-place-MC_r3, 827499, 208720, 302588, 0, 383, 448, 769, 22656, in_place mixcolumn - r = 3, 4538
